timestep,raw_steer
10,-0.302202
20,0.935813
30,-0.864525
40,-0.949573
50,-0.144576
60,-1.000000
70,0.543637
80,0.193748
90,-0.159365
100,0.114152
110,-0.098435
120,1.000000
130,1.000000
140,-1.000000
150,-1.000000
160,0.194651
170,0.181832
180,0.740577
190,0.029698
200,-0.719684
210,1.000000
220,-0.455851
230,0.121878
240,-0.445507
250,1.000000
260,1.000000
270,0.221691
280,-1.000000
290,0.605638
300,-0.205924
310,-0.004613
320,0.442567
330,1.000000
340,-0.730040
350,-1.000000
360,0.153988
370,-0.015017
380,-1.000000
390,-0.106951
400,0.962426
410,0.161689
420,1.000000
430,1.000000
440,0.236178
450,0.051746
460,-0.231311
470,1.000000
480,-0.612707
490,-0.111452
500,1.000000
510,1.000000
520,-1.000000
530,0.245856
540,-1.000000
550,1.000000
560,1.000000
570,-0.485061
580,-0.044548
590,1.000000
600,0.938580
610,0.661967
620,1.000000
630,-0.803031
640,-0.132976
650,-0.934652
660,-0.461985
670,-0.111074
680,-0.026235
690,-0.717748
700,1.000000
710,-1.000000
720,-0.529736
730,-1.000000
740,0.348444
750,-1.000000
760,-1.000000
770,0.219709
780,0.886110
790,0.993384
800,-1.000000
810,0.725288
820,0.295744
830,-0.228111
840,0.360773
850,0.688776
860,0.107378
870,1.000000
880,-1.000000
890,1.000000
900,-0.555463
910,-0.587347
920,1.000000
930,0.945184
940,-1.000000
950,-0.518794
960,0.527506
970,0.060405
980,-0.608362
990,0.037392
1000,1.000000
1010,1.000000
1020,-0.545766
1030,0.828163
1040,-1.000000
1050,-1.000000
1060,-0.257620
1070,-1.000000
1080,0.200095
1090,-1.000000
1100,0.656985
1110,-0.212063
1120,-0.265048
1130,-0.596578
1140,-0.170787
1150,0.758245
1160,-0.186182
1170,0.935113
1180,0.990488
1190,-0.456281
1200,-0.442232
1210,-0.577311
1220,-0.365819
1230,-1.000000
1240,0.399742
1250,0.935122
1260,0.825725
1270,-0.780900
1280,1.000000
1290,-0.289472
1300,-1.000000
1310,0.622812
1320,0.929852
1330,1.000000
1340,-1.000000
1350,-1.000000
1360,-1.000000
1370,1.000000
1380,-0.370460
1390,0.705566
