timestep,ep_rew_mean,ep_len_mean,explained_variance,value_loss,entropy,approx_kl,clip_fraction,std,intervention_rate,emergency_rate,int_rate_C-01,int_rate_C-02,int_rate_C-03,int_rate_C-04,int_rate_C-05,int_rate_C-06
1024,17.530941,31.062,nan,nan,nan,nan,nan,nan,0.877930,0.031250,0.022461,0.050781,0.186523,0.000000,0.027344,0.844727
2048,17.688740,31.415,-0.009424,7.001462,1.415838,0.003860,0.040625,0.995154,0.907227,0.032227,0.012695,0.086914,0.251953,0.000000,0.028320,0.865234
3072,19.401517,33.495,0.334781,10.939273,1.411792,0.005726,0.056055,0.989334,0.895508,0.025391,0.008789,0.043945,0.149414,0.000000,0.020508,0.872070
4096,22.866988,37.930,0.434994,13.025384,1.402075,0.009171,0.100586,0.976974,0.890625,0.017578,0.002930,0.027344,0.066406,0.000000,0.013672,0.874023
5120,26.584756,42.870,0.682622,10.280748,1.390040,0.009515,0.131934,0.965002,0.892578,0.018555,0.039062,0.044922,0.141602,0.000000,0.016602,0.866211
6144,30.793092,48.280,0.540243,20.664146,1.379794,0.011687,0.111719,0.957821,0.867188,0.011719,0.019531,0.027344,0.068359,0.000000,0.010742,0.848633
7168,37.990927,57.420,0.564376,21.281644,1.374079,0.011052,0.133691,0.955574,0.878906,0.005859,0.018555,0.008789,0.008789,0.000000,0.005859,0.875977
8192,44.703806,65.660,0.601212,20.388298,1.372569,0.015502,0.140234,0.953537,0.889648,0.005859,0.000000,0.015625,0.002930,0.000000,0.005859,0.886719
9216,49.323522,71.670,0.623597,26.324323,1.370881,0.010132,0.111133,0.952976,0.875977,0.001953,0.013672,0.005859,0.014648,0.000000,0.001953,0.875000
10240,59.647495,84.280,0.318412,19.317855,1.368317,0.010312,0.140039,0.948218,0.873047,0.000977,0.019531,0.009766,0.000000,0.000000,0.000977,0.873047
11264,65.754251,91.420,0.099433,22.333401,1.364850,0.019037,0.141211,0.947213,0.894531,0.005859,0.000000,0.009766,0.000000,0.000000,0.005859,0.894531
12288,71.984461,99.410,0.242896,39.719993,1.361792,0.011004,0.188477,0.940876,0.890625,0.006836,0.000000,0.012695,0.012695,0.000000,0.006836,0.886719
13312,78.671059,107.210,0.577679,56.191529,1.356546,0.014513,0.150098,0.938351,0.870117,0.006836,0.000000,0.005859,0.021484,0.000000,0.005859,0.867188
14336,84.447264,113.900,0.516056,66.609335,1.352353,0.013519,0.198437,0.933485,0.892578,0.005859,0.000000,0.022461,0.004883,0.000000,0.005859,0.888672
15360,92.145607,122.950,0.515651,58.853146,1.349754,0.022707,0.275195,0.933067,0.893555,0.005859,0.000000,0.011719,0.000000,0.000000,0.003906,0.890625
16384,98.289863,130.690,0.034459,82.921700,1.348561,0.015537,0.169238,0.930847,0.890625,0.003906,0.000000,0.003906,0.000000,0.000000,0.002930,0.888672
17408,101.508754,134.310,0.539054,28.402936,1.344496,0.021579,0.284473,0.925573,0.887695,0.005859,0.000000,0.014648,0.004883,0.000000,0.002930,0.882812
18432,108.711613,142.310,-0.038641,34.953367,1.342750,0.069418,0.244043,0.928799,0.881836,0.006836,0.000000,0.006836,0.006836,0.000000,0.004883,0.877930
19456,114.981827,149.690,0.398425,58.400899,1.344445,0.021778,0.172168,0.927402,0.872070,0.000000,0.000000,0.003906,0.005859,0.000000,0.000000,0.871094
20480,122.170804,158.300,-1.314960,9.023840,1.338482,0.015210,0.292480,0.916745,0.869141,0.004883,0.000000,0.004883,0.000977,0.000000,0.003906,0.867188
21504,126.876715,163.170,0.518831,54.005105,1.331527,0.012972,0.167969,0.916600,0.873047,0.005859,0.007812,0.008789,0.028320,0.000000,0.004883,0.866211
22528,135.108145,172.880,0.443960,25.631476,1.333395,0.017073,0.167773,0.920361,0.878906,0.000977,0.000000,0.009766,0.000000,0.000000,0.000977,0.877930
23552,139.315743,176.670,0.336926,6.637876,1.330023,0.285400,0.353027,0.911029,0.875000,0.009766,0.026367,0.022461,0.033203,0.000000,0.009766,0.869141
24576,145.477886,183.220,0.388695,89.811432,1.325155,0.033915,0.303711,0.909972,0.866211,0.004883,0.024414,0.011719,0.019531,0.000000,0.004883,0.864258
25600,145.795228,182.920,0.611925,47.581983,1.322763,0.017423,0.240625,0.906780,0.901367,0.003906,0.005859,0.001953,0.028320,0.000000,0.002930,0.896484
26624,153.478061,191.380,0.635772,47.334545,1.320027,0.017304,0.143555,0.905467,0.886719,0.001953,0.004883,0.002930,0.000000,0.000000,0.001953,0.886719
27648,151.202331,187.250,0.605017,26.166257,1.317487,0.029686,0.185938,0.900979,0.897461,0.005859,0.000000,0.004883,0.014648,0.000000,0.004883,0.890625
28672,149.110456,184.330,0.809147,19.799183,1.315336,0.047435,0.182617,0.901598,0.885742,0.002930,0.003906,0.004883,0.009766,0.000000,0.002930,0.884766
29696,154.740360,190.280,0.412198,47.333377,1.315741,0.012139,0.223047,0.902788,0.900391,0.001953,0.007812,0.000000,0.009766,0.000000,0.001953,0.900391
30720,156.303778,191.420,0.572699,15.165596,1.311587,0.030314,0.210059,0.893074,0.890625,0.002930,0.015625,0.003906,0.000000,0.000000,0.001953,0.888672
31744,160.182783,195.040,0.057714,48.743348,1.305628,0.041390,0.277832,0.893337,0.880859,0.002930,0.005859,0.000000,0.023438,0.000000,0.001953,0.877930
32768,164.188722,199.430,0.690018,11.350387,1.305391,0.054985,0.288867,0.891469,0.902344,0.000000,0.004883,0.001953,0.000000,0.000000,0.000000,0.902344
33792,172.100277,208.110,0.171011,4.378790,1.296554,0.011404,0.203613,0.878335,0.900391,0.001953,0.000000,0.000000,0.000000,0.000000,0.000977,0.899414
34816,180.727325,217.790,0.193092,29.944760,1.287851,0.024250,0.265137,0.876066,0.893555,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.893555
35840,184.779788,222.240,0.173848,4.446071,1.286343,0.018318,0.363867,0.877632,0.898438,0.000977,0.000000,0.010742,0.000000,0.000000,0.000977,0.896484
36864,189.289221,226.840,-0.017950,26.431596,1.288682,0.027029,0.316992,0.877539,0.888672,0.001953,0.000000,0.000000,0.014648,0.000000,0.000977,0.887695
37888,194.651089,232.550,0.754465,7.723358,1.282554,0.091099,0.352734,0.863698,0.879883,0.000000,0.000000,0.003906,0.001953,0.000000,0.000000,0.878906
38912,195.709137,232.740,0.794681,3.487464,1.269746,0.034359,0.287012,0.858375,0.896484,0.000977,0.000000,0.000977,0.000000,0.000000,0.000977,0.896484
39936,203.694109,240.790,0.409811,24.844901,1.262573,0.025273,0.224316,0.852236,0.891602,0.002930,0.000000,0.012695,0.000000,0.000000,0.000977,0.888672
40960,199.373300,234.750,0.870986,10.249882,1.256177,0.078167,0.364746,0.843551,0.890625,0.005859,0.000000,0.011719,0.042969,0.000000,0.003906,0.884766
41984,205.307125,241.210,0.847454,27.252947,1.249182,0.037779,0.210742,0.844935,0.895508,0.000977,0.000000,0.000000,0.000000,0.000000,0.000000,0.894531
43008,212.964026,249.550,0.418338,3.791668,1.251546,0.008825,0.333887,0.847023,0.875000,0.000977,0.000000,0.003906,0.026367,0.000000,0.000977,0.871094
44032,216.715121,253.400,0.652230,27.282621,1.250193,0.031943,0.391895,0.844518,0.894531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.894531
45056,186.730165,217.210,-3.592764,4.490364,1.248176,0.986767,0.482617,0.842772,0.893555,0.024414,0.096680,0.043945,0.233398,0.000000,0.019531,0.873047
46080,124.707938,146.060,0.399888,191.626255,1.249278,0.050757,0.274414,0.843800,0.899414,0.032227,0.050781,0.048828,0.267578,0.000000,0.024414,0.875977
47104,113.971274,133.980,0.560331,89.954602,1.248832,0.040271,0.225781,0.842180,0.892578,0.008789,0.140625,0.015625,0.059570,0.000000,0.008789,0.884766
48128,78.745511,94.390,0.309215,102.637989,1.247406,0.021886,0.251953,0.842789,0.905273,0.012695,0.135742,0.015625,0.089844,0.000000,0.010742,0.892578
49152,70.300056,85.700,0.532010,82.168090,1.246265,0.013554,0.201270,0.839527,0.890625,0.011719,0.139648,0.005859,0.105469,0.000000,0.010742,0.877930
50176,46.020173,59.030,0.341249,75.489396,1.241896,0.017102,0.188086,0.835870,0.887695,0.016602,0.069336,0.027344,0.083984,0.000000,0.012695,0.879883
51200,51.194551,64.760,0.694180,34.918484,1.241318,0.023221,0.243750,0.839586,0.908203,0.007812,0.084961,0.006836,0.019531,0.000000,0.005859,0.901367
52224,57.215825,71.740,0.214821,40.758121,1.245132,0.026926,0.273047,0.839979,0.892578,0.006836,0.080078,0.005859,0.049805,0.000000,0.006836,0.887695
53248,64.029536,79.360,0.202350,35.136998,1.242514,0.024424,0.221777,0.837663,0.897461,0.005859,0.166016,0.009766,0.039062,0.000000,0.004883,0.878906
54272,70.380487,86.590,0.410379,28.055534,1.236802,0.053256,0.316309,0.828486,0.893555,0.004883,0.083008,0.001953,0.020508,0.000000,0.004883,0.878906
55296,78.464345,95.270,0.482942,31.885354,1.230800,0.039141,0.248340,0.828187,0.893555,0.009766,0.033203,0.003906,0.013672,0.000000,0.005859,0.883789
56320,86.359741,104.090,0.752136,17.208435,1.229429,0.056933,0.310352,0.827454,0.897461,0.007812,0.103516,0.000000,0.045898,0.000000,0.007812,0.886719
57344,94.060669,112.670,0.746042,28.071013,1.230744,0.037382,0.229004,0.832200,0.895508,0.003906,0.058594,0.008789,0.014648,0.000000,0.002930,0.888672
58368,98.576278,117.720,0.594731,23.870604,1.231438,0.027853,0.215527,0.824844,0.890625,0.002930,0.022461,0.000000,0.004883,0.000000,0.002930,0.890625
59392,103.483576,123.230,0.449250,23.941845,1.224150,0.041623,0.254785,0.822258,0.902344,0.002930,0.031250,0.000977,0.005859,0.000000,0.002930,0.898438
60416,111.648375,131.920,0.769702,16.621782,1.221010,0.060995,0.283691,0.819370,0.904297,0.003906,0.000000,0.001953,0.000000,0.000000,0.001953,0.902344
61440,118.056506,138.880,0.779855,24.382673,1.217239,0.033009,0.280957,0.813703,0.899414,0.001953,0.000000,0.000977,0.000000,0.000000,0.001953,0.899414
62464,123.299596,144.740,0.745492,11.760129,1.213010,0.077253,0.299902,0.812785,0.902344,0.002930,0.041016,0.007812,0.001953,0.000000,0.002930,0.900391
63488,131.123928,153.100,0.750072,16.608866,1.212019,0.074662,0.351172,0.816043,0.903320,0.002930,0.023438,0.006836,0.001953,0.000000,0.001953,0.901367
64512,135.153337,157.480,0.369038,20.118494,1.218642,0.103806,0.305273,0.821750,0.883789,0.004883,0.054688,0.003906,0.046875,0.000000,0.003906,0.875977
65536,141.746704,164.320,0.522276,17.243646,1.218412,0.018903,0.277246,0.812682,0.898438,0.003906,0.029297,0.002930,0.003906,0.000000,0.002930,0.894531
66560,147.653712,170.630,0.463931,35.385870,1.210919,0.054757,0.282422,0.809988,0.890625,0.004883,0.054688,0.006836,0.038086,0.000000,0.004883,0.886719
